epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.81152,0.85764,1.36702,0.99064,0.98081,0.94492,0.98042,0.87829,0.45465,0.82948,0.80285,0.00062,0.00062,0.00062
2,17.4567,0.48391,0.39827,0.82763,0.9787,0.86501,0.96795,0.84914,0.43249,0.8555,0.79234,0.00123505,0.00123505,0.00123505
3,25.8364,0.45141,0.36545,0.82593,0.42627,0.9519,0.42659,0.37512,0.44008,4.46117,0.79291,0.00182476,0.00182476,0.00182476
4,33.3467,0.47503,0.36103,0.82641,0.98045,0.97287,0.99268,0.90655,0.41894,0.38983,0.78967,0.0018812,0.0018812,0.0018812
5,41.8448,0.44203,0.33503,0.82193,0.97014,0.98291,0.99271,0.93132,0.36421,0.34359,0.7823,0.0018416,0.0018416,0.0018416
6,50.0437,0.4137,0.32557,0.815,0.97911,0.98681,0.99342,0.93269,0.32248,0.30255,0.7748,0.001802,0.001802,0.001802
7,58.509,0.38306,0.30471,0.81192,0.98041,0.97049,0.99239,0.94057,0.33672,0.30452,0.77682,0.0017624,0.0017624,0.0017624
8,67.0427,0.39239,0.29634,0.81168,0.97688,0.98319,0.99341,0.94423,0.34503,0.28587,0.77803,0.0017228,0.0017228,0.0017228
9,75.2596,0.37283,0.28,0.80866,0.97711,0.97517,0.99271,0.94527,0.32088,0.27551,0.77122,0.0016832,0.0016832,0.0016832
10,82.092,0.38156,0.28146,0.80748,0.97154,0.97971,0.99294,0.94655,0.33004,0.28436,0.77477,0.0016436,0.0016436,0.0016436
11,88.9595,0.36461,0.27208,0.80778,0.98002,0.97517,0.99306,0.95308,0.30915,0.27934,0.77032,0.001604,0.001604,0.001604
12,95.8096,0.36894,0.26714,0.80816,0.97685,0.98225,0.99358,0.95032,0.30393,0.25085,0.7722,0.0015644,0.0015644,0.0015644
13,102.602,0.35203,0.25644,0.80517,0.97405,0.98604,0.99315,0.9546,0.29267,0.25744,0.76886,0.0015248,0.0015248,0.0015248
14,109.442,0.3479,0.25966,0.79943,0.97918,0.98518,0.99298,0.95495,0.28527,0.25659,0.76652,0.0014852,0.0014852,0.0014852
15,116.317,0.34619,0.25472,0.79946,0.97619,0.98593,0.99321,0.95539,0.27859,0.25555,0.76747,0.0014456,0.0014456,0.0014456
16,123.166,0.34051,0.25358,0.80437,0.97827,0.978,0.99262,0.95743,0.27573,0.23822,0.76441,0.001406,0.001406,0.001406
17,130.06,0.3282,0.24612,0.8008,0.97724,0.98293,0.993,0.95727,0.28114,0.24764,0.7661,0.0013664,0.0013664,0.0013664
18,136.886,0.33036,0.23997,0.80285,0.9814,0.98229,0.99319,0.95725,0.27081,0.23141,0.76421,0.0013268,0.0013268,0.0013268
